,train,val,test
67,C3L-01732-21,C3N-01405-21,C3L-03624-22
68,C3L-01739-21,C3L-01682-23,C3L-01328-21
69,C3L-01749-21,C3N-00247-22,C3N-01011-22
70,C3L-01833-21,C3L-02170-21,C3N-01166-22
71,C3L-01840-23,C3N-00221-28,C3L-02115-26
72,C3L-01840-22,C3L-04889-23,C3N-03069-21
73,C3L-01864-21,C3L-02552-22,C3N-03039-23
74,C3N-00335-25,C3L-04889-24,C3N-03039-21
75,C3N-00335-21,C3L-01884-21,C3L-02610-21
76,C3N-00335-22,C3L-01663-22,C3L-02613-23
77,C3L-01864-23,C3L-04887-23,C3L-01052-23
78,C3L-01864-22,C3L-00993-22,C3N-00954-23
79,C3N-00335-23,C3N-01411-24,C3L-02890-21
80,C3N-00337-25,C3L-00923-23,C3N-01375-22
81,C3L-01913-21,C3L-02665-24,C3L-03635-21
82,C3L-01967-23,C3N-04155-22,C3L-03639-22
83,C3L-01967-22,C3L-05393-23,C3N-01383-21
84,C3L-01967-21,C3L-05392-22,C3N-02592-21
85,C3N-00337-24,C3L-03272-22,C3N-01378-22
86,C3N-00337-21,C3L-04922-24,C3L-00881-22
87,C3N-00337-22,C3L-04868-25,C3L-00598-23
88,C3N-00337-23,C3L-04792-23,C3N-02069-23
89,C3N-00339-25,C3L-05176-21,C3N-03428-22
90,C3L-02119-26,C3L-04354-21,C3N-03430-22
91,C3L-02119-27,C3N-03042-24,C3N-03666-21
92,C3L-02119-28,C3N-00295-23,C3N-03853-21
93,C3L-02119-24,C3N-02700-23,C3L-01702-21
94,C3L-02121-26,C3N-02333-23,C3L-00277-22
95,C3N-00334-21,C3L-03378-24,C3N-01019-24
96,C3N-00334-22,C3N-01645-23,C3N-01022-21
97,C3N-00334-23,C3N-01645-22,C3L-00444-23
98,C3N-00339-24,C3L-02651-24,C3N-02582-22
99,C3L-02121-25,C3L-00987-23,C3N-02572-22
100,C3N-00339-21,C3L-03747-23,C3N-00223-25
101,C3N-00339-22,C3L-02705-22,C3N-02380-21
102,C3L-02121-28,C3N-00661-24,C3N-00199-22
103,C3L-02121-27,C3L-03557-25,C3N-00180-23
104,C3L-02121-24,C3L-03681-24,C3N-00167-23
105,C3L-02125-27,C3L-04084-24,C3N-02146-21
106,C3L-02125-28,C3L-03559-22,C3N-02234-23
107,C3L-02125-25,C3L-04815-23,C3N-02158-24
108,C3L-02216-22,C3L-04359-21,C3N-02155-21
109,C3L-02216-21,C3L-00671-23,C3N-02089-23
110,C3L-02353-21,C3N-01515-21,C3N-02828-21
111,C3L-02354-22,C3L-02706-24,C3N-02764-23
112,C3L-02354-21,C3N-01818-23,C3N-02919-21
113,C3N-00340-23,C3N-04113-21,C3N-00545-21
114,C3N-00340-21,C3N-02599-23,C3N-00545-23
115,C3N-00340-24,C3L-00591-23,C3N-02922-21
116,C3L-02357-22,C3L-04731-25,C3N-00546-23
117,C3L-02357-23,C3N-00376-25,C3N-00547-21
118,C3L-02357-21,C3L-05302-22,C3N-02973-23
119,C3L-02382-26,C3L-04011-22,C3N-03202-21
120,C3L-02382-29,C3L-03364-23,C3N-03222-22
121,C3L-02382-30,C3N-04142-21,C3N-01842-21
122,C3N-00339-23,C3N-01533-21,C3N-03764-22
123,C3L-02384-21,C3N-02330-22,C3N-04157-21
124,C3N-00151-24,C3N-02373-22,C3L-00001-21
125,C3N-00151-21,C3N-00179-23,C3N-01823-23
126,C3L-02389-21,C3N-00242-22,C3L-00083-21
127,C3L-02392-21,C3N-00177-22,C3L-00263-25
128,C3L-02395-21,C3N-00150-24,C3N-00579-22
129,C3L-02399-21,C3N-00148-23,C3L-00422-23
130,C3L-02403-21,C3N-00435-21,C3L-02661-24
131,C3L-02408-21,C3N-00573-22,C3L-02954-21
132,C3L-02408-23,C3L-01281-22,C3N-01413-21
133,C3L-02409-21,C3L-00907-22,C3N-01074-24
134,C3L-02409-23,C3L-00610-21,C3N-01072-23
135,C3L-02409-25,C3N-02726-21,C3L-01632-23
136,C3L-02411-24,C3N-02160-22,C3N-01030-22
137,C3L-02411-25,C3N-02082-21,C3N-01024-24
138,C3L-02412-21,C3N-02082-22,C3L-01924-24
139,C3L-02412-23,C3N-01091-23,C3L-02508-22
140,C3L-02448-21,C3N-01085-22,C3N-01016-23
141,C3N-00377-25,C3N-01083-23,C3L-03726-22
142,C3N-00377-24,C3N-01082-22,C3L-04912-22
143,C3L-02412-25,C3N-01077-22,C3L-02164-23
144,C3N-00379-23,C3L-00991-21,C3L-02127-21
145,C3N-00377-23,C3L-00969-25,C3L-02552-23
146,C3L-02468-22,C3L-02346-23,C3L-01884-22
147,C3L-02468-21,,C3N-02434-21
148,C3N-00379-22,,C3N-01025-24
149,C3L-02545-22,,C3L-04889-25
150,C3N-00379-21,,C3L-01606-21
151,C3N-00383-24,,C3L-02625-22
152,C3N-00383-21,,C3L-01455-23
153,C3N-00383-22,,C3L-02627-24
154,C3L-02557-22,,C3L-04888-21
155,C3L-02557-21,,C3L-02648-23
156,C3L-02557-23,,C3L-02665-21
157,C3N-00383-23,,C3L-04880-22
158,C3L-02602-22,,C3L-04878-22
159,C3N-00386-23,,C3L-04878-24
160,C3L-02602-23,,C3L-00445-26
161,C3L-02741-22,,C3L-02624-25
162,C3L-02741-23,,C3L-02624-23
163,C3L-02744-24,,C3L-05369-22
164,C3L-02744-21,,C3L-05225-23
165,C3L-02741-21,,C3L-04863-21
166,C3N-00386-22,,C3L-04378-21
167,C3L-02744-23,,C3L-04804-25
168,C3L-02744-22,,C3L-04854-22
169,C3L-02746-21,,C3L-05225-22
170,C3L-02746-23,,C3N-05914-27
171,C3N-00388-23,,C3N-02688-21
172,C3N-00388-24,,C3L-05225-21
173,C3N-00388-21,,C3N-00555-22
174,C3L-02746-22,,C3L-05172-23
175,C3N-00388-22,,C3L-03962-23
176,C3N-00389-25,,C3L-03963-22
177,C3N-00389-24,,C3L-04856-24
178,C3N-00383-25,,C3L-05172-25
179,C3N-00389-21,,C3N-00309-23
180,C3N-00389-22,,C3L-05145-22
181,C3L-02747-22,,C3L-02621-22
182,C3L-02800-21,,C3N-00295-22
183,C3N-00389-23,,C3N-04151-21
184,C3L-02747-21,,C3N-04153-23
185,C3L-03594-22,,C3N-00297-21
186,C3L-03594-23,,C3L-04791-24
187,C3L-02802-21,,C3N-01943-23
188,C3L-02802-23,,C3L-04791-23
189,C3L-02802-22,,C3N-00299-23
190,C3L-02894-22,,C3N-03837-22
191,C3L-02953-21,,C3N-03042-23
192,C3L-02990-25,,C3N-02700-22
193,C3L-02990-24,,C3N-00871-21
194,C3L-02990-28,,C3N-03013-21
195,C3L-02990-27,,C3N-03226-22
196,C3L-02990-26,,C3N-03933-23
197,C3L-03594-21,,C3N-00829-22
198,C3N-00729-21,,C3N-03619-22
199,C3N-00729-22,,C3N-03928-21
200,C3N-00734-23,,C3L-02651-21
201,C3N-00743-22,,C3L-02707-23
202,C3N-00743-21,,C3L-02707-21
203,C3N-00836-24,,C3L-03392-23
204,C3N-00836-21,,C3L-03554-21
205,C3N-00836-23,,C3L-03559-24
206,C3N-00836-22,,C3L-03681-23
207,C3N-00847-22,,C3L-04817-24
208,C3L-03152-22,,C3L-04819-23
209,C3N-00847-21,,C3L-04843-22
210,C3N-00848-23,,C3L-00278-23
211,C3L-03264-21,,C3L-02041-22
212,C3N-00848-22,,C3L-00671-21
213,C3N-00848-21,,C3N-03088-22
214,C3N-00850-23,,C3L-01157-21
215,C3N-00850-21,,C3L-01155-21
216,C3N-00850-22,,C3L-01061-21
217,C3N-00858-24,,C3N-03184-21
218,C3N-00858-23,,C3N-03186-22
219,C3N-00858-22,,C3L-00677-21
220,C3L-03467-21,,C3N-01517-22
221,C3L-03467-22,,C3L-02706-21
222,C3L-03467-23,,C3N-01816-22
223,C3L-03589-23,,C3N-04098-22
224,C3N-00866-21,,C3N-04092-21
225,C3N-00866-22,,C3N-03797-23
226,C3L-03589-21,,C3N-03757-27
227,C3N-00880-23,,C3N-03480-23
228,C3N-01003-21,,C3N-03452-21
229,C3L-01925-23,,C3N-03473-21
230,C3L-01925-27,,C3L-04795-25
231,C3L-01925-22,,C3N-02286-21
232,C3L-05571-25,,C3N-02186-23
233,C3L-05571-26,,C3N-02770-28
234,C3L-05571-23,,C3N-02783-24
235,C3L-05848-21,,C3N-02786-22
236,C3L-05849-23,,C3N-00327-22
237,C3L-05571-21,,C3L-05027-21
238,C3L-01744-21,,C3L-04760-23
239,C3L-01312-21,,C3L-04331-23
240,C3L-01312-22,,C3L-04212-21
241,C3L-01307-22,,C3L-03382-22
242,C3L-05571-22,,C3L-02647-22
243,C3L-05849-21,,C3L-02622-21
244,C3L-05849-22,,C3N-03097-21
245,C3N-00155-24,,C3N-03220-22
246,C3N-00155-21,,C3N-01481-24
247,C3N-00155-22,,C3N-01493-23
248,C3L-01304-22,,C3N-01533-23
249,C3L-01307-23,,C3N-03228-22
250,C3L-01304-21,,C3N-01845-22
251,C3L-01304-23,,C3N-03460-21
252,C3L-01282-21,,C3N-02330-21
253,C3N-00520-24,,C3N-03918-21
254,C3L-01275-21,,C3N-00315-22
255,C3N-01211-24,,C3N-00154-22
256,C3L-01253-21,,C3L-00991-23
257,C3N-01211-21,,C3N-00435-24
258,C3N-01211-22,,C3N-00435-22
259,C3N-01212-23,,C3N-00437-22
260,C3N-01211-23,,C3N-00492-21
261,C3N-00520-23,,C3N-00953-22
262,C3N-00520-21,,C3L-01607-22
263,C3N-01212-21,,C3L-01302-23
264,C3N-00520-22,,C3L-01287-21
265,C3N-01212-22,,C3N-01180-21
266,C3L-01252-21,,C3N-01200-25
267,C3N-00732-23,,C3N-01213-22
268,C3N-00750-30,,C3L-00817-21
269,C3N-00750-29,,C3L-00799-21
270,C3N-00732-21,,C3L-00791-21
271,C3N-00753-29,,C3L-00606-22
272,C3N-00755-23,,C3N-01522-21
273,C3N-00753-28,,C3L-00583-22
274,C3N-00753-27,,C3L-00416-21
275,C3N-00755-22,,C3N-01646-22
276,C3L-01248-21,,C3N-02439-23
277,C3L-01247-21,,C3N-02266-21
278,C3L-01246-21,,C3N-01806-21
279,C3N-01217-23,,C3N-01091-21
280,C3N-01217-22,,C3N-01086-23
281,C3N-01217-21,,C3N-01083-22
282,C3N-01219-23,,C3N-01081-21
283,C3N-01219-22,,C3N-01080-21
284,C3N-01219-21,,C3N-01078-24
285,C3N-01267-24,,C3N-00715-21
286,C3N-01267-21,,C3L-00982-21
287,C3N-00859-25,,C3L-00969-21
288,C3N-01267-22,,C3L-00968-24
289,C3N-01346-23,,C3L-02346-22
290,C3N-01349-22,,C3L-02202-21
291,C3N-00859-23,,C3L-01978-22
292,C3N-00860-24,,C3L-01976-23
293,C3N-00872-24,,C3L-01976-22
294,C3N-01349-21,,C3L-01963-21
295,C3L-00963-21,,C3L-01954-21
296,C3N-01007-21,,C3L-01681-26
297,C3N-01008-22,,
298,C3N-01079-22,,
299,C3N-01079-23,,
300,C3N-01079-24,,
301,C3N-01079-21,,
302,C3L-00961-21,,
303,C3L-00947-21,,
304,C3L-00946-21,,
305,C3N-01171-21,,
306,C3N-01172-21,,
307,C3N-01341-22,,
308,C3N-01342-22,,
309,C3N-01342-21,,
310,C3L-00942-21,,
311,C3L-00938-21,,
312,C3L-00921-23,,
313,C3L-00921-22,,
314,C3L-00918-21,,
315,C3L-00905-21,,
316,C3L-00781-22,,
317,C3L-00781-23,,
318,C3L-00781-21,,
319,C3N-01526-21,,
320,C3N-01525-22,,
321,C3N-01526-22,,
322,C3N-01525-21,,
323,C3N-01526-23,,
324,C3N-01529-23,,
325,C3L-00781-24,,
326,C3L-01311-21,,
327,C3L-00780-23,,
328,C3L-00780-22,,
329,C3L-00780-24,,
330,C3L-00780-25,,
331,C3L-00771-21,,
332,C3L-00770-21,,
333,C3N-01761-21,,
334,C3N-01765-24,,
335,C3N-01765-21,,
336,C3N-01764-22,,
337,C3N-01821-22,,
338,C3N-01821-21,,
339,C3N-01821-23,,
340,C3N-01830-21,,
341,C3N-01830-22,,
342,C3N-01843-23,,
343,C3N-01843-22,,
344,C3N-01847-22,,
345,C3L-00769-21,,
346,C3N-01848-23,,
347,C3N-01848-21,,
348,C3N-01873-21,,
349,C3N-01874-21,,
350,C3L-00601-22,,
351,C3N-01875-21,,
352,C3N-01876-21,,
353,C3N-01875-22,,
354,C3N-01877-24,,
355,C3L-00601-21,,
356,C3N-01878-21,,
357,C3N-01880-23,,
358,C3L-00601-23,,
359,C3N-01880-24,,
360,C3N-01510-23,,
361,C3N-01510-21,,
362,C3N-01510-22,,
363,C3N-01520-21,,
364,C3N-02027-21,,
365,C3N-02028-23,,
366,C3N-02027-23,,
367,C3N-02028-21,,
368,C3N-02028-22,,
369,C3N-02030-23,,
370,C3N-01521-22,,
371,C3N-01520-22,,
372,C3N-01520-23,,
373,C3N-01521-21,,
374,C3N-01521-23,,
375,C3L-00586-21,,
376,C3N-02061-22,,
377,C3N-02061-23,,
378,C3N-02062-23,,
379,C3N-02062-21,,
380,C3N-02061-21,,
381,C3L-00586-22,,
382,C3L-00586-23,,
383,C3N-02244-23,,
384,C3N-02244-21,,
385,C3N-02244-22,,
386,C3N-02247-21,,
387,C3N-02247-22,,
388,C3N-02247-23,,
389,C3N-02249-24,,
390,C3N-02253-27,,
391,C3N-02253-26,,
392,C3N-02271-23,,
393,C3N-02274-21,,
394,C3N-02296-21,,
395,C3N-02296-22,,
396,C3N-02298-22,,
397,C3N-02337-21,,
398,C3N-02337-23,,
399,C3N-02372-23,,
400,C3N-02372-22,,
401,C3N-02372-21,,
402,C3N-02302-22,,
403,C3L-00563-23,,
404,C3L-00563-22,,
405,C3N-02302-21,,
406,C3L-00563-21,,
407,C3N-02436-23,,
408,C3N-02436-22,,
409,C3N-02436-21,,
410,C3N-02437-21,,
411,C3N-02437-22,,
412,C3L-00449-21,,
413,C3L-00413-21,,
414,C3N-02595-21,,
415,C3N-02595-22,,
416,C3N-01537-23,,
417,C3N-02598-23,,
418,C3N-01537-21,,
419,C3L-00362-22,,
420,C3L-00362-21,,
421,C3L-00361-21,,
422,C3L-00361-22,,
423,C3N-02635-22,,
424,C3N-02635-21,,
425,C3N-02639-22,,
426,C3N-02632-25,,
427,C3N-02637-21,,
428,C3N-02636-21,,
429,C3N-02639-21,,
430,C3L-00358-21,,
431,C3N-02678-22,,
432,C3N-02789-21,,
433,C3L-00358-22,,
434,C3N-02947-22,,
435,C3N-02947-21,,
436,C3N-02947-23,,
437,C3N-02972-22,,
438,C3N-02972-23,,
439,C3N-02976-22,,
440,C3N-02979-21,,
441,C3L-00356-21,,
442,C3L-00356-22,,
443,C3N-03005-23,,
444,C3N-03044-24,,
445,C3N-03044-21,,
446,C3N-03044-23,,
447,C3N-03044-22,,
448,C3L-00356-23,,
449,C3L-00161-25,,
450,C3L-00161-21,,
451,C3N-03417-21,,
452,C3N-03415-21,,
453,C3N-03767-21,,
454,C3L-00161-23,,
455,C3L-00161-22,,
456,C3N-01825-22,,
457,C3L-00008-21,,
458,C3N-01825-21,,
459,C3L-00157-22,,
460,C3L-00032-21,,
461,C3L-00090-21,,
462,C3L-00098-22,,
463,C3L-00156-22,,
464,C3L-00145-22,,
465,C3L-00136-23,,
466,C3L-00136-22,,
467,C3L-00137-23,,
468,C3L-00137-22,,
469,C3N-01802-21,,
470,C3L-00145-21,,
471,C3L-00139-22,,
472,C3L-00139-21,,
473,C3N-01529-21,,
474,C3N-03227-21,,
475,C3L-05501-22,,
476,C3L-00029-21,,
477,C3L-00564-21,,
478,C3L-00564-22,,
479,C3L-00567-22,,
480,C3L-00567-21,,
481,C3L-00564-23,,
482,C3N-03230-22,,
483,C3N-03230-21,,
484,C3N-04164-22,,
485,C3N-04164-24,,
486,C3N-04158-21,,
487,C3N-04158-22,,
488,C3N-04158-23,,
489,C3L-01551-21,,
490,C3L-01601-23,,
491,C3L-01601-21,,
492,C3N-03914-22,,
493,C3N-03914-21,,
494,C3N-03914-23,,
495,C3N-03230-23,,
496,C3L-01883-21,,
497,C3L-01883-23,,
498,C3L-01883-22,,
499,C3N-03615-21,,
500,C3N-03615-22,,
501,C3N-03615-23,,
502,C3N-03489-22,,
503,C3N-03489-21,,
504,C3N-03236-22,,
505,C3L-06162-23,,
506,C3L-06162-22,,
507,C3L-06162-21,,
508,C3L-06162-27,,
509,C3L-06162-24,,
510,C3N-03236-21,,
511,C3N-03236-23,,
512,C3N-03232-21,,
513,C3N-03232-23,,
514,C3N-02064-23,,
515,C3N-02064-21,,
516,C3N-02064-22,,
517,C3N-03227-22,,
518,C3N-03227-23,,
519,C3N-03221-25,,
520,C3N-02038-22,,
521,C3N-02038-21,,
522,C3N-03221-23,,
523,C3N-03221-22,,
524,C3N-02038-23,,
525,C3N-02034-22,,
526,C3N-02034-23,,
527,C3N-03221-21,,
528,C3N-03221-24,,
529,C3N-03214-22,,
530,C3N-03214-21,,
531,C3N-03208-21,,
532,C3L-05856-21,,
533,C3L-05852-21,,
534,C3L-05564-21,,
535,C3L-05564-22,,
536,C3L-05507-28,,
537,C3L-05505-22,,
538,C3N-02334-22,,
539,C3L-05505-21,,
540,C3L-01706-24,,
541,C3L-05041-22,,
542,C3L-05041-21,,
543,C3L-05023-23,,
544,C3L-05023-22,,
545,C3L-05023-26,,
546,C3L-05023-25,,
547,C3N-02334-21,,
548,C3N-02334-23,,
549,C3N-02340-23,,
550,C3N-02340-21,,
551,C3N-02340-22,,
552,C3N-01535-23,,
553,C3N-01535-21,,
554,C3N-01535-22,,
555,C3N-01534-21,,
556,C3N-01534-22,,
557,C3N-01532-23,,
558,C3N-01534-23,,
559,C3L-04725-22,,
560,C3N-01523-22,,
561,C3N-01523-21,,
562,C3L-04725-21,,
563,C3L-04725-23,,
564,C3L-04492-22,,
565,C3L-04492-21,,
566,C3L-04492-25,,
567,C3N-03232-22,,
568,C3L-04492-24,,
569,C3L-04492-23,,
570,C3L-04349-23,,
571,C3L-04349-22,,
572,C3L-04349-21,,
573,C3L-04349-25,,
574,C3L-04349-24,,
575,C3L-04204-24,,
576,C3L-04204-25,,
577,C3L-04203-24,,
578,C3L-04203-21,,
579,C3L-04201-21,,
580,C3L-04202-24,,
581,C3L-04202-21,,
582,C3L-03960-21,,
583,C3L-03956-21,,
584,C3L-03641-23,,
585,C3L-03647-22,,
586,C3L-03647-23,,
587,C3L-03641-22,,
588,C3L-03641-21,,
589,C3L-03551-21,,
590,C3L-03403-22,,
591,C3L-03403-21,,
592,C3L-03366-23,,
593,C3L-03366-25,,
594,C3L-03253-21,,
595,C3L-03196-21,,
596,C3L-03198-21,,
597,C3L-01038-23,,
598,C3L-01038-21,,
599,C3L-03197-21,,
600,C3L-03166-21,,
601,C3L-02854-21,,
602,C3N-02722-22,,
603,C3N-02722-23,,
604,C3L-02852-21,,
605,C3L-02851-21,,
606,C3N-03096-21,,
607,C3N-00754-22,,
608,C3N-00754-21,,
609,C3N-02722-24,,
610,C3L-02630-23,,
611,C3L-01056-26,,
612,C3N-00855-21,,
613,C3N-00853-22,,
614,C3L-01056-21,,
615,C3L-01059-25,,
616,C3L-01059-24,,
617,C3L-02630-24,,
618,C3L-02630-21,,
619,C3N-00855-22,,
620,C3N-00853-21,,
621,C3N-00843-21,,
622,C3L-02630-22,,
623,C3N-00843-23,,
624,C3N-00645-22,,
625,C3N-00645-21,,
626,C3N-00645-23,,
627,C3N-00645-24,,
628,C3N-02934-22,,
629,C3N-02934-21,,
630,C3L-02533-21,,
631,C3L-02533-22,,
632,C3N-02942-22,,
633,C3N-02942-21,,
634,C3N-03096-25,,
635,C3N-03096-24,,
636,C3N-03096-22,,
637,C3N-03096-23,,
638,C3N-03087-22,,
639,C3L-02359-21,,
640,C3N-00171-24,,
641,C3N-00171-23,,
642,C3N-00171-22,,
643,C3L-02359-23,,
644,C3N-00171-21,,
645,C3N-03087-21,,
646,C3L-02203-21,,
647,C3N-00875-22,,
648,C3N-03068-22,,
649,C3L-02103-24,,
650,C3L-02103-22,,
651,C3L-02103-21,,
652,C3L-02103-23,,
653,C3L-02103-25,,
654,C3L-01914-22,,
655,C3L-01466-21,,
656,C3L-01914-21,,
657,C3L-01574-24,,
658,C3L-01574-25,,
659,C3L-01574-21,,
660,C3L-01574-22,,
661,C3L-01574-23,,
662,C3L-00881-23,,
663,C3L-01598-22,,
664,C3L-01637-21,,
665,C3L-01637-22,,
666,C3L-01637-23,,
667,C3L-01662-23,,
668,C3L-01662-21,,
669,C3L-01662-22,,
670,C3L-01687-23,,
671,C3L-01687-21,,
672,C3L-01687-22,,
673,C3L-01689-23,,
674,C3L-01689-21,,
675,C3L-01703-26,,
676,C3L-01703-28,,
677,C3L-01453-21,,
678,C3L-01453-22,,
679,C3L-01453-23,,
680,C3L-03624-21,,
681,C3N-03061-21,,
682,C3L-01971-21,,
683,C3L-01971-22,,
684,C3L-01971-23,,
685,C3L-01328-22,,
686,C3L-02109-21,,
687,C3L-02109-23,,
688,C3L-02109-22,,
689,C3N-01012-22,,
690,C3N-01012-21,,
691,C3N-01011-21,,
692,C3N-01011-23,,
693,C3N-01166-21,,
694,C3N-00303-22,,
695,C3N-01165-23,,
696,C3L-02115-27,,
697,C3L-02116-22,,
698,C3N-00957-21,,
699,C3N-00957-22,,
700,C3L-02116-21,,
701,C3N-00957-23,,
702,C3L-02116-23,,
703,C3L-02118-22,,
704,C3L-02118-21,,
705,C3N-03061-22,,
706,C3N-01168-23,,
707,C3L-02118-23,,
708,C3N-03039-22,,
709,C3N-03069-22,,
710,C3L-03371-24,,
711,C3N-02944-21,,
712,C3N-02944-22,,
713,C3L-02463-21,,
714,C3N-03006-22,,
715,C3L-03371-22,,
716,C3L-03350-23,,
717,C3L-03350-22,,
718,C3L-03350-21,,
719,C3L-03129-21,,
720,C3N-03000-22,,
721,C3N-02998-23,,
722,C3N-02971-22,,
723,C3N-02971-21,,
724,C3L-02463-22,,
725,C3N-02971-23,,
726,C3L-02463-23,,
727,C3L-03129-22,,
728,C3N-02940-22,,
729,C3N-02940-21,,
730,C3L-02606-23,,
731,C3L-02604-21,,
732,C3L-02606-21,,
733,C3L-02606-22,,
734,C3L-02610-23,,
735,C3L-02610-22,,
736,C3L-02613-22,,
737,C3N-02768-21,,
738,C3N-02768-22,,
739,C3L-01124-21,,
740,C3L-01124-22,,
741,C3L-01054-23,,
742,C3L-02701-23,,
743,C3L-01054-24,,
744,C3L-01053-28,,
745,C3L-03129-23,,
746,C3L-02701-24,,
747,C3L-02701-21,,
748,C3L-02701-22,,
749,C3L-02701-25,,
750,C3L-02809-21,,
751,C3L-02809-24,,
752,C3L-01053-23,,
753,C3L-02809-23,,
754,C3L-02809-22,,
755,C3N-00709-21,,
756,C3L-01053-25,,
757,C3L-01052-21,,
758,C3L-01052-22,,
759,C3L-02890-22,,
760,C3L-02899-21,,
761,C3L-02899-22,,
762,C3L-03123-22,,
763,C3L-03123-21,,
764,C3L-01051-23,,
765,C3L-01051-22,,
766,C3N-00954-22,,
767,C3L-01037-21,,
768,C3L-01037-23,,
769,C3L-01036-22,,
770,C3L-03123-23,,
771,C3N-01375-23,,
772,C3L-01036-21,,
773,C3L-03356-26,,
774,C3L-03356-28,,
775,C3L-01031-21,,
776,C3L-03356-27,,
777,C3L-03388-22,,
778,C3L-03394-22,,
779,C3L-03394-23,,
780,C3L-03395-22,,
781,C3L-03395-23,,
782,C3N-01380-23,,
783,C3N-01380-21,,
784,C3N-01381-21,,
785,C3N-01381-22,,
786,C3N-01382-22,,
787,C3L-03628-26,,
788,C3L-03628-27,,
789,C3L-03630-23,,
790,C3L-03628-28,,
791,C3L-03635-22,,
792,C3L-03635-23,,
793,C3L-03639-23,,
794,C3L-03639-21,,
795,C3N-01382-21,,
796,C3N-01383-23,,
797,C3N-01388-22,,
798,C3L-01031-23,,
799,C3N-00954-21,,
800,C3L-03743-21,,
801,C3N-00303-24,,
