,train,val,test
C3N-02000-23,True,False,False
C3N-02003-22,True,False,False
C3N-02002-23,True,False,False
C3N-02000-21,True,False,False
C3N-02672-21,True,False,False
C3N-02715-22,True,False,False
C3N-02718-22,True,False,False
C3N-02718-23,True,False,False
C3N-02715-23,True,False,False
C3N-02721-23,True,False,False
C3N-02721-21,True,False,False
C3N-02715-21,True,False,False
C3N-02721-22,True,False,False
C3N-02718-21,True,False,False
C3N-02728-22,True,False,False
C3N-02728-23,True,False,False
C3N-02757-21,True,False,False
C3N-02728-21,True,False,False
C3N-02758-21,True,False,False
C3N-02758-22,True,False,False
C3N-02757-22,True,False,False
C3L-02513-23,True,False,False
C3N-02828-24,True,False,False
C3N-02764-22,True,False,False
C3N-02828-22,True,False,False
C3N-02828-23,True,False,False
C3L-03985-22,True,False,False
C3N-02916-24,True,False,False
C3L-03984-24,True,False,False
C3L-03984-25,True,False,False
C3L-03984-22,True,False,False
C3N-02916-21,True,False,False
C3N-02916-22,True,False,False
C3N-02916-23,True,False,False
C3N-02919-24,True,False,False
C3N-02919-22,True,False,False
C3N-02920-24,True,False,False
C3N-02919-23,True,False,False
C3N-00545-22,True,False,False
C3N-00545-24,True,False,False
C3N-00546-22,True,False,False
C3N-02920-22,True,False,False
C3N-02920-21,True,False,False
C3N-02920-23,True,False,False
C3N-02922-24,True,False,False
C3N-02923-24,True,False,False
C3N-00546-21,True,False,False
C3N-02922-22,True,False,False
C3N-02922-23,True,False,False
C3N-02923-23,True,False,False
C3N-02926-22,True,False,False
C3N-02928-21,True,False,False
C3N-02923-21,True,False,False
C3N-02926-21,True,False,False
C3N-02928-22,True,False,False
C3N-02929-21,True,False,False
C3N-02929-22,True,False,False
C3L-02513-21,True,False,False
C3L-02513-22,True,False,False
C3L-02515-21,True,False,False
C3N-00547-24,True,False,False
C3N-02948-21,True,False,False
C3N-02948-23,True,False,False
C3N-02948-22,True,False,False
C3N-00547-23,True,False,False
C3N-00547-22,True,False,False
C3N-00549-24,True,False,False
C3N-00549-22,True,False,False
C3N-00549-23,True,False,False
C3N-02950-21,True,False,False
C3N-02950-22,True,False,False
C3N-02973-21,True,False,False
C3N-00549-21,True,False,False
C3N-00550-24,True,False,False
C3N-00550-22,True,False,False
C3N-00550-21,True,False,False
C3N-02973-22,True,False,False
C3N-00550-23,True,False,False
C3L-02515-23,True,False,False
C3N-00551-24,True,False,False
C3N-00551-21,True,False,False
C3N-00551-22,True,False,False
C3N-00551-23,True,False,False
C3N-03038-22,True,False,False
C3N-03038-21,True,False,False
C3N-03052-21,True,False,False
C3N-03052-22,True,False,False
C3N-03054-21,True,False,False
C3N-03054-22,True,False,False
C3N-03063-22,True,False,False
C3N-03063-21,True,False,False
C3N-03073-22,True,False,False
C3N-03057-21,True,False,False
C3N-03057-22,True,False,False
C3N-03073-21,True,False,False
C3N-03074-21,True,False,False
C3N-03080-21,True,False,False
C3N-03080-22,True,False,False
C3N-03074-22,True,False,False
C3N-03205-22,True,False,False
C3N-03202-22,True,False,False
C3N-03205-21,True,False,False
C3N-03210-22,True,False,False
C3N-03210-21,True,False,False
C3N-03212-22,True,False,False
C3N-03212-21,True,False,False
C3N-03222-23,True,False,False
C3N-03222-21,True,False,False
C3N-03225-21,True,False,False
C3N-03225-23,True,False,False
C3N-03225-22,True,False,False
C3N-03233-23,True,False,False
C3N-03233-22,True,False,False
C3N-03233-21,True,False,False
C3N-03238-21,True,False,False
C3N-03238-22,True,False,False
C3N-03238-23,True,False,False
C3N-03420-21,True,False,False
C3N-01842-23,True,False,False
C3N-03420-22,True,False,False
C3N-03765-27,True,False,False
C3N-01842-22,True,False,False
C3N-00552-23,True,False,False
C3N-00552-24,True,False,False
C3N-00552-22,True,False,False
C3N-03890-23,True,False,False
C3N-00552-21,True,False,False
C3N-03911-23,True,False,False
C3N-03911-21,True,False,False
C3N-03890-21,True,False,False
C3N-03911-22,True,False,False
C3N-03921-23,True,False,False
C3N-03921-22,True,False,False
C3N-03921-21,True,False,False
C3N-03929-23,True,False,False
C3N-03929-22,True,False,False
C3N-03929-21,True,False,False
C3N-04157-23,True,False,False
C3N-04157-22,True,False,False
C3N-00556-21,True,False,False
C3N-04168-23,True,False,False
C3N-00556-22,True,False,False
C3N-04168-22,True,False,False
C3N-00556-24,True,False,False
C3N-00559-23,True,False,False
C3N-00559-21,True,False,False
C3N-00559-24,True,False,False
C3N-00559-22,True,False,False
C3N-00560-22,True,False,False
C3N-00560-21,True,False,False
C3N-00560-24,True,False,False
C3N-00572-23,True,False,False
C3N-00572-22,True,False,False
C3N-00572-21,True,False,False
C3N-00572-24,True,False,False
C3L-03984-21,True,False,False
C3N-04168-21,True,False,False
C3N-00574-22,True,False,False
C3N-00574-23,True,False,False
C3N-00574-21,True,False,False
C3N-04180-21,True,False,False
C3N-04382-22,True,False,False
C3N-04382-21,True,False,False
C3N-04173-21,True,False,False
C3N-01823-21,True,False,False
C3L-00009-21,True,False,False
C3N-00574-24,True,False,False
C3N-01823-22,True,False,False
C3L-00080-21,True,False,False
C3L-00093-21,True,False,False
C3L-00094-21,True,False,False
C3L-00095-23,True,False,False
C3L-03976-23,True,False,False
C3L-00095-22,True,False,False
C3L-00095-21,True,False,False
C3L-03976-25,True,False,False
C3L-03976-22,True,False,False
C3L-02560-22,True,False,False
C3N-00578-21,True,False,False
C3N-00578-22,True,False,False
C3N-00578-23,True,False,False
C3N-00578-24,True,False,False
C3L-02560-21,True,False,False
C3L-02601-21,True,False,False
C3N-00579-23,True,False,False
C3L-00140-21,True,False,False
C3L-00140-22,True,False,False
C3L-00144-21,True,False,False
C3L-02616-23,True,False,False
C3L-02616-24,True,False,False
C3L-00263-24,True,False,False
C3L-00263-23,True,False,False
C3L-00263-22,True,False,False
C3N-00579-24,True,False,False
C3N-00579-21,True,False,False
C3L-02616-22,True,False,False
C3N-00580-22,True,False,False
C3L-02616-21,True,False,False
C3N-00580-21,True,False,False
C3L-00279-23,True,False,False
C3L-00279-22,True,False,False
C3L-00279-21,True,False,False
C3L-03271-22,True,False,False
C3L-03271-23,True,False,False
C3L-02616-25,True,False,False
C3L-03271-21,True,False,False
C3L-00368-21,True,False,False
C3N-00580-24,True,False,False
C3L-03976-24,True,False,False
C3N-00580-23,True,False,False
C3L-03969-23,True,False,False
C3L-00368-22,True,False,False
C3L-00412-21,True,False,False
C3L-02643-22,True,False,False
C3L-02643-24,True,False,False
C3L-02643-21,True,False,False
C3L-02643-23,True,False,False
C3L-00422-21,True,False,False
C3L-00422-22,True,False,False
C3L-02654-22,True,False,False
C3L-02654-25,True,False,False
C3L-00510-22,True,False,False
C3L-00510-23,True,False,False
C3L-02654-24,True,False,False
C3L-00510-21,True,False,False
C3L-02654-23,True,False,False
C3L-02654-21,True,False,False
C3L-02661-21,True,False,False
C3L-02661-22,True,False,False
C3L-02661-25,True,False,False
C3L-02661-23,True,False,False
C3L-00604-22,True,False,False
C3L-00604-21,True,False,False
C3L-00604-23,True,False,False
C3N-00704-22,True,False,False
C3N-00704-21,True,False,False
C3L-03969-24,True,False,False
C3L-03969-21,True,False,False
C3L-03969-22,True,False,False
C3N-00737-23,True,False,False
C3N-01416-23,True,False,False
C3N-01489-23,True,False,False
C3N-01488-22,True,False,False
C3N-01489-22,True,False,False
C3N-01489-21,True,False,False
C3N-01489-24,True,False,False
C3N-01416-22,True,False,False
C3N-01488-23,True,False,False
C3N-01488-24,True,False,False
C3N-01416-24,True,False,False
C3N-01488-21,True,False,False
C3N-01416-21,True,False,False
C3L-02834-23,True,False,False
C3L-02834-22,True,False,False
C3N-00737-21,True,False,False
C3N-00737-22,True,False,False
C3N-00738-22,True,False,False
C3N-00738-21,True,False,False
C3N-01415-23,True,False,False
C3N-01415-21,True,False,False
C3N-01415-22,True,False,False
C3N-01414-23,True,False,False
C3L-00893-22,True,False,False
C3L-00893-21,True,False,False
C3L-00893-23,True,False,False
C3L-02834-21,True,False,False
C3N-01414-22,True,False,False
C3N-01414-21,True,False,False
C3N-01414-24,True,False,False
C3L-00913-22,True,False,False
C3L-00913-21,True,False,False
C3L-00913-23,True,False,False
C3N-01413-22,True,False,False
C3N-01413-23,True,False,False
C3N-01413-24,True,False,False
C3N-01410-23,True,False,False
C3N-01410-22,True,False,False
C3N-01410-21,True,False,False
C3N-01410-24,True,False,False
C3N-01405-23,True,False,False
C3N-01405-22,True,False,False
C3N-01405-24,True,False,False
C3L-00973-22,True,False,False
C3L-00973-25,True,False,False
C3L-00973-21,True,False,False
C3L-00973-24,True,False,False
C3L-00973-23,True,False,False
C3L-02957-21,True,False,False
C3L-02957-23,True,False,False
C3L-02957-22,True,False,False
C3L-02967-21,True,False,False
C3L-02958-21,True,False,False
C3L-02961-21,True,False,False
C3L-03268-23,True,False,False
C3L-03268-22,True,False,False
C3L-03268-21,True,False,False
C3N-01074-22,True,False,False
C3N-01074-21,True,False,False
C3N-01074-23,True,False,False
C3L-01330-21,True,False,False
C3L-01330-23,True,False,False
C3L-01330-22,True,False,False
C3L-03462-24,True,False,False
C3N-01072-21,True,False,False
C3N-01072-24,True,False,False
C3N-01072-22,True,False,False
C3L-03462-23,True,False,False
C3L-03463-27,True,False,False
C3N-01071-22,True,False,False
C3N-01071-23,True,False,False
C3N-01071-24,True,False,False
C3N-01030-24,True,False,False
C3N-01071-21,True,False,False
C3N-01030-21,True,False,False
C3L-01632-21,True,False,False
C3L-01632-22,True,False,False
C3N-01030-23,True,False,False
C3L-01682-21,True,False,False
C3L-01683-26,True,False,False
C3L-01683-27,True,False,False
C3N-01024-21,True,False,False
C3N-01024-23,True,False,False
C3N-01024-22,True,False,False
C3N-01023-23,True,False,False
C3N-01023-24,True,False,False
C3N-01023-21,True,False,False
C3L-01862-21,True,False,False
C3L-01862-22,True,False,False
C3L-03679-22,True,False,False
C3L-01862-23,True,False,False
C3L-03642-21,True,False,False
C3L-03721-21,True,False,False
C3L-03717-21,True,False,False
C3L-01889-21,True,False,False
C3L-01890-22,True,False,False
C3N-01021-22,True,False,False
C3N-01023-22,True,False,False
C3L-03969-25,True,False,False
C3L-01924-21,True,False,False
C3L-01924-22,True,False,False
C3L-02549-21,True,False,False
C3L-01924-23,True,False,False
C3L-02549-22,True,False,False
C3L-01924-25,True,False,False
C3N-01021-24,True,False,False
C3N-01021-23,True,False,False
C3N-01021-21,True,False,False
C3N-01016-22,True,False,False
C3N-01016-21,True,False,False
C3L-02508-23,True,False,False
C3N-01016-24,True,False,False
C3N-00959-21,True,False,False
C3N-00959-22,True,False,False
C3L-03726-21,True,False,False
C3L-02365-21,True,False,False
C3L-02365-24,True,False,False
C3L-03726-23,True,False,False
C3L-02365-25,True,False,False
C3L-02219-22,True,False,False
C3L-02345-23,True,False,False
C3L-02350-22,True,False,False
C3L-02345-22,True,False,False
C3L-02348-21,True,False,False
C3L-02348-22,True,False,False
C3L-02345-21,True,False,False
C3L-02219-21,True,False,False
C3L-02349-21,True,False,False
C3L-04361-25,True,False,False
C3L-04361-21,True,False,False
C3N-00247-21,True,False,False
C3L-02170-22,True,False,False
C3L-02170-23,True,False,False
C3L-02168-23,True,False,False
C3L-02168-21,True,False,False
C3L-02168-24,True,False,False
C3L-02168-22,True,False,False
C3L-02164-22,True,False,False
C3L-02164-21,True,False,False
C3L-02163-22,True,False,False
C3L-02163-21,True,False,False
C3L-02163-23,True,False,False
C3L-02130-23,True,False,False
C3L-02130-22,True,False,False
C3L-02130-21,True,False,False
C3L-02130-24,True,False,False
C3L-02127-22,True,False,False
C3L-02127-23,True,False,False
C3L-02127-24,True,False,False
C3L-02358-23,True,False,False
C3L-02358-21,True,False,False
C3L-02358-22,True,False,False
C3L-04361-23,True,False,False
C3N-00247-23,True,False,False
C3L-04336-21,True,False,False
C3N-00221-26,True,False,False
C3N-00221-24,True,False,False
C3N-02523-22,True,False,False
C3N-00221-25,True,False,False
C3L-04361-24,True,False,False
C3N-01017-24,True,False,False
C3L-04361-22,True,False,False
C3N-01017-21,True,False,False
C3N-01017-22,True,False,False
C3N-01017-23,True,False,False
C3N-01020-21,True,False,False
C3N-01020-24,True,False,False
C3L-04889-21,True,False,False
C3N-01020-22,True,False,False
C3N-01020-23,True,False,False
C3N-02523-21,True,False,False
C3L-02546-23,True,False,False
C3L-02546-21,True,False,False
C3N-02494-21,True,False,False
C3N-02435-21,True,False,False
C3L-04912-21,True,False,False
C3N-02435-22,True,False,False
C3L-04912-25,True,False,False
C3L-04378-23,True,False,False
C3L-01884-23,True,False,False
C3N-02434-23,True,False,False
C3N-00221-27,True,False,False
C3L-04912-24,True,False,False
C3L-05420-25,True,False,False
C3L-05417-23,True,False,False
C3N-02426-21,True,False,False
C3N-02425-22,True,False,False
C3L-01838-23,True,False,False
C3L-04889-22,True,False,False
C3N-03051-22,True,False,False
C3N-03051-21,True,False,False
C3N-03662-21,True,False,False
C3N-02426-22,True,False,False
C3L-02619-25,True,False,False
C3L-02619-23,True,False,False
C3N-03072-22,True,False,False
C3N-02575-22,True,False,False
C3L-02619-21,True,False,False
C3N-01025-21,True,False,False
C3N-01025-23,True,False,False
C3N-01025-22,True,False,False
C3N-01028-23,True,False,False
C3L-02619-22,True,False,False
C3L-02619-24,True,False,False
C3N-02425-21,True,False,False
C3N-03662-23,True,False,False
C3L-05417-24,True,False,False
C3L-05417-22,True,False,False
C3L-05417-21,True,False,False
C3N-01028-21,True,False,False
C3N-01028-22,True,False,False
C3N-01028-24,True,False,False
C3L-04912-23,True,False,False
C3L-04916-23,True,False,False
C3L-04916-24,True,False,False
C3L-04916-22,True,False,False
C3L-04916-25,True,False,False
C3N-04127-21,True,False,False
C3N-00211-21,True,False,False
C3N-00211-22,True,False,False
C3L-04888-24,True,False,False
C3N-02575-21,True,False,False
C3N-00211-23,True,False,False
C3L-02625-23,True,False,False
C3L-04921-25,True,False,False
C3L-02625-21,True,False,False
C3L-02625-24,True,False,False
C3L-02625-25,True,False,False
C3N-03072-21,True,False,False
C3N-03076-21,True,False,False
C3L-02627-21,True,False,False
C3L-02627-25,True,False,False
C3L-02627-23,True,False,False
C3L-01455-21,True,False,False
C3L-01455-22,True,False,False
C3L-02627-22,True,False,False
C3L-02629-21,True,False,False
C3L-02629-22,True,False,False
C3L-05411-21,True,False,False
C3L-02629-23,True,False,False
C3N-00211-24,True,False,False
C3L-02629-25,True,False,False
C3L-02629-24,True,False,False
C3N-01768-26,True,False,False
C3N-03662-22,True,False,False
C3N-03076-22,True,False,False
C3L-05417-25,True,False,False
C3N-03092-22,True,False,False
C3L-05411-23,True,False,False
C3N-02374-21,True,False,False
C3N-05630-22,True,False,False
C3N-02375-22,True,False,False
C3N-02375-21,True,False,False
C3N-03092-23,True,False,False
C3N-03093-22,True,False,False
C3N-03092-21,True,False,False
C3N-03092-24,True,False,False
C3L-02646-25,True,False,False
C3L-02646-22,True,False,False
C3L-01285-21,True,False,False
C3L-02646-21,True,False,False
C3L-01285-22,True,False,False
C3L-01285-23,True,False,False
C3L-02646-24,True,False,False
C3N-03093-23,True,False,False
C3N-03093-24,True,False,False
C3L-02646-23,True,False,False
C3N-03093-21,True,False,False
C3N-01194-24,True,False,False
C3L-04888-23,True,False,False
C3L-04888-25,True,False,False
C3L-04888-22,True,False,False
C3L-04749-24,True,False,False
C3L-04887-22,True,False,False
C3L-04746-21,True,False,False
C3N-02374-22,True,False,False
C3L-04746-23,True,False,False
C3N-03882-21,True,False,False
C3N-02339-21,True,False,False
C3L-04746-22,True,False,False
C3L-05693-21,True,False,False
C3L-04746-24,True,False,False
C3L-04749-21,True,False,False
C3N-02339-23,True,False,False
C3L-04379-21,True,False,False
C3N-02339-22,True,False,False
C3L-04749-23,True,False,False
C3L-04336-23,True,False,False
C3L-04336-22,True,False,False
C3L-04749-22,True,False,False
C3L-04916-21,True,False,False
C3L-04336-24,True,False,False
C3L-04921-22,True,False,False
C3L-04336-25,True,False,False
C3L-05411-22,True,False,False
C3N-02300-22,True,False,False
C3N-02285-23,True,False,False
C3N-02289-26,True,False,False
C3N-02288-23,True,False,False
C3N-02285-24,True,False,False
C3L-02648-25,True,False,False
C3N-02284-22,True,False,False
C3L-05428-25,True,False,False
C3N-02283-21,True,False,False
C3N-03848-21,True,False,False
C3N-03851-24,True,False,False
C3L-05411-24,True,False,False
C3L-00503-22,True,False,False
C3L-00503-21,True,False,False
C3L-04921-21,True,False,False
C3L-05428-24,True,False,False
C3L-05428-23,True,False,False
C3N-04162-21,True,False,False
C3N-03851-21,True,False,False
C3N-03875-22,True,False,False
C3L-04921-24,True,False,False
C3L-01000-24,True,False,False
C3L-04216-23,True,False,False
C3N-04124-21,True,False,False
C3L-01000-25,True,False,False
C3N-04124-22,True,False,False
C3N-04127-22,True,False,False
C3L-04216-22,True,False,False
C3L-04216-25,True,False,False
C3L-00503-23,True,False,False
C3L-04216-21,True,False,False
C3L-04379-25,True,False,False
C3L-04379-24,True,False,False
C3N-02252-29,True,False,False
C3L-04216-24,True,False,False
C3L-00993-24,True,False,False
C3L-04379-22,True,False,False
C3L-00993-23,True,False,False
C3L-00993-21,True,False,False
C3N-03886-21,True,False,False
C3L-04883-22,True,False,False
C3L-04887-21,True,False,False
C3L-04887-24,True,False,False
C3L-06169-25,True,False,False
C3L-06169-24,True,False,False
C3L-06169-23,True,False,False
C3L-06169-22,True,False,False
C3N-03886-22,True,False,False
C3L-02648-22,True,False,False
C3L-02648-21,True,False,False
C3L-02648-24,True,False,False
C3L-04887-25,True,False,False
C3L-02649-25,True,False,False
C3L-02649-22,True,False,False
C3L-04883-23,True,False,False
C3L-04883-25,True,False,False
C3L-04883-21,True,False,False
C3L-00965-23,True,False,False
C3L-00965-22,True,False,False
C3L-04883-24,True,False,False
C3L-00965-21,True,False,False
C3L-00965-24,True,False,False
C3L-02649-24,True,False,False
C3L-02649-21,True,False,False
C3L-02649-23,True,False,False
C3L-02650-23,True,False,False
C3L-02650-26,True,False,False
C3L-02650-22,True,False,False
C3N-01411-23,True,False,False
C3N-01411-21,True,False,False
C3N-01411-22,True,False,False
C3L-02650-25,True,False,False
C3L-02650-24,True,False,False
C3L-00927-21,True,False,False
C3L-00927-22,True,False,False
C3L-00927-23,True,False,False
C3N-03886-23,True,False,False
C3L-06169-21,True,False,False
C3L-02660-23,True,False,False
C3L-02660-25,True,False,False
C3L-02660-24,True,False,False
C3N-03875-21,True,False,False
C3L-04786-25,True,False,False
C3L-05428-21,True,False,False
C3L-02660-21,True,False,False
C3L-00904-21,True,False,False
C3L-00904-22,True,False,False
C3L-02665-22,True,False,False
C3L-02660-22,True,False,False
C3L-02665-23,True,False,False
C3L-02665-25,True,False,False
C3L-02669-23,True,False,False
C3L-02669-24,True,False,False
C3L-02669-25,True,False,False
C3L-02669-22,True,False,False
C3L-02669-21,True,False,False
C3L-05411-25,True,False,False
C3N-03877-22,True,False,False
C3L-05399-23,True,False,False
C3L-05399-24,True,False,False
C3N-03877-21,True,False,False
C3N-02675-24,True,False,False
C3L-05399-21,True,False,False
C3L-04079-22,True,False,False
C3N-03204-22,True,False,False
C3N-03204-21,True,False,False
C3L-04880-23,True,False,False
C3L-04880-24,True,False,False
C3L-04079-21,True,False,False
C3L-04880-21,True,False,False
C3L-04880-25,True,False,False
C3L-04878-23,True,False,False
C3L-05399-22,True,False,False
C3L-05398-24,True,False,False
C3L-05398-21,True,False,False
C3L-05399-25,True,False,False
C3L-05398-23,True,False,False
C3L-05398-22,True,False,False
C3L-04878-21,True,False,False
C3L-05398-25,True,False,False
C3L-04878-25,True,False,False
C3L-05397-23,True,False,False
C3L-05397-25,True,False,False
C3L-05397-24,True,False,False
C3L-04874-23,True,False,False
C3L-04874-22,True,False,False
C3L-04874-24,True,False,False
C3L-04874-21,True,False,False
C3N-03880-21,True,False,False
C3L-04874-25,True,False,False
C3N-03880-22,True,False,False
C3L-05397-21,True,False,False
C3L-04873-22,True,False,False
C3L-04873-23,True,False,False
C3L-05397-22,True,False,False
C3L-04873-21,True,False,False
C3L-04873-25,True,False,False
C3N-03882-22,True,False,False
C3L-05394-24,True,False,False
C3L-04873-24,True,False,False
C3L-05394-23,True,False,False
C3L-05394-21,True,False,False
C3L-05394-22,True,False,False
C3L-00603-21,True,False,False
C3L-00603-22,True,False,False
C3L-04856-25,True,False,False
C3L-04872-23,True,False,False
C3L-04872-21,True,False,False
C3L-04746-25,True,False,False
C3L-05428-22,True,False,False
C3L-04786-22,True,False,False
C3L-04872-24,True,False,False
C3N-04155-23,True,False,False
C3L-04786-24,True,False,False
C3N-01018-24,True,False,False
C3L-04367-21,True,False,False
C3L-04872-22,True,False,False
C3L-04367-22,True,False,False
C3L-05395-24,True,False,False
C3L-05395-23,True,False,False
C3L-02891-23,True,False,False
C3L-02891-21,True,False,False
C3L-05395-21,True,False,False
C3L-05395-22,True,False,False
C3L-00568-23,True,False,False
C3L-04861-22,True,False,False
